2025-11-17 02:51:40 status half-installed libsepol2:amd64 3.4-2.1
2025-11-17 02:51:40 status unpacked libsepol2:amd64 3.4-2.1
2025-11-17 02:51:40 install libsmartcols1:amd64 <none> 2.38.1-5+deb12u3
2025-11-17 02:51:40 status half-installed libsmartcols1:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:40 status unpacked libsmartcols1:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:40 install libss2:amd64 <none> 1.47.0-2+b2
2025-11-17 02:51:40 status half-installed libss2:amd64 1.47.0-2+b2
2025-11-17 02:51:40 status unpacked libss2:amd64 1.47.0-2+b2
2025-11-17 02:51:40 install libstdc++6:amd64 <none> 12.2.0-14+deb12u1
2025-11-17 02:51:40 status half-installed libstdc++6:amd64 12.2.0-14+deb12u1
2025-11-17 02:51:40 status unpacked libstdc++6:amd64 12.2.0-14+deb12u1
2025-11-17 02:51:40 install libsystemd0:amd64 <none> 252.39-1~deb12u1
2025-11-17 02:51:40 status half-installed libsystemd0:amd64 252.39-1~deb12u1
2025-11-17 02:51:40 status unpacked libsystemd0:amd64 252.39-1~deb12u1
2025-11-17 02:51:40 install libtasn1-6:amd64 <none> 4.19.0-2+deb12u1
2025-11-17 02:51:40 status half-installed libtasn1-6:amd64 4.19.0-2+deb12u1
2025-11-17 02:51:41 status unpacked libtasn1-6:amd64 4.19.0-2+deb12u1
2025-11-17 02:51:41 install libtinfo6:amd64 <none> 6.4-4
2025-11-17 02:51:41 status half-installed libtinfo6:amd64 6.4-4
2025-11-17 02:51:41 status unpacked libtinfo6:amd64 6.4-4
2025-11-17 02:51:41 install libudev1:amd64 <none> 252.39-1~deb12u1
2025-11-17 02:51:41 status half-installed libudev1:amd64 252.39-1~deb12u1
2025-11-17 02:51:41 status unpacked libudev1:amd64 252.39-1~deb12u1
2025-11-17 02:51:41 install libunistring2:amd64 <none> 1.0-2
2025-11-17 02:51:41 status half-installed libunistring2:amd64 1.0-2
2025-11-17 02:51:41 status unpacked libunistring2:amd64 1.0-2
2025-11-17 02:51:41 install libuuid1:amd64 <none> 2.38.1-5+deb12u3
2025-11-17 02:51:41 status half-installed libuuid1:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:41 status unpacked libuuid1:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:41 install libxxhash0:amd64 <none> 0.8.1-1
2025-11-17 02:51:41 status half-installed libxxhash0:amd64 0.8.1-1
2025-11-17 02:51:41 status unpacked libxxhash0:amd64 0.8.1-1
2025-11-17 02:51:41 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2025-11-17 02:51:41 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2025-11-17 02:51:41 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2025-11-17 02:51:41 install login:amd64 <none> 1:4.13+dfsg1-1+deb12u1
2025-11-17 02:51:41 status half-installed login:amd64 1:4.13+dfsg1-1+deb12u1
2025-11-17 02:51:42 status unpacked login:amd64 1:4.13+dfsg1-1+deb12u1
2025-11-17 02:51:42 install logsave:amd64 <none> 1.47.0-2+b2
2025-11-17 02:51:42 status half-installed logsave:amd64 1.47.0-2+b2
2025-11-17 02:51:42 status unpacked logsave:amd64 1.47.0-2+b2
2025-11-17 02:51:42 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2025-11-17 02:51:42 status half-configured mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:42 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:42 status half-installed mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:42 status unpacked mawk:amd64 1.3.4.20200120-3.1
2025-11-17 02:51:42 install mount:amd64 <none> 2.38.1-5+deb12u3
2025-11-17 02:51:42 status half-installed mount:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:42 status unpacked mount:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:42 install ncurses-base:all <none> 6.4-4
2025-11-17 02:51:42 status half-installed ncurses-base:all 6.4-4
2025-11-17 02:51:42 status unpacked ncurses-base:all 6.4-4
2025-11-17 02:51:42 install ncurses-bin:amd64 <none> 6.4-4
2025-11-17 02:51:42 status half-installed ncurses-bin:amd64 6.4-4
2025-11-17 02:51:42 status unpacked ncurses-bin:amd64 6.4-4
2025-11-17 02:51:42 install passwd:amd64 <none> 1:4.13+dfsg1-1+deb12u1
2025-11-17 02:51:42 status half-installed passwd:amd64 1:4.13+dfsg1-1+deb12u1
2025-11-17 02:51:43 status unpacked passwd:amd64 1:4.13+dfsg1-1+deb12u1
2025-11-17 02:51:43 upgrade perl-base:amd64 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2025-11-17 02:51:43 status half-configured perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:43 status unpacked perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:43 status half-installed perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:43 status unpacked perl-base:amd64 5.36.0-7+deb12u3
2025-11-17 02:51:44 install sed:amd64 <none> 4.9-1
2025-11-17 02:51:44 status half-installed sed:amd64 4.9-1
2025-11-17 02:51:44 status unpacked sed:amd64 4.9-1
2025-11-17 02:51:44 install sysvinit-utils:amd64 <none> 3.06-4
2025-11-17 02:51:44 status half-installed sysvinit-utils:amd64 3.06-4
2025-11-17 02:51:44 status unpacked sysvinit-utils:amd64 3.06-4
2025-11-17 02:51:44 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2025-11-17 02:51:44 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2025-11-17 02:51:44 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2025-11-17 02:51:44 install tzdata:all <none> 2025b-0+deb12u2
2025-11-17 02:51:44 status half-installed tzdata:all 2025b-0+deb12u2
2025-11-17 02:51:45 status unpacked tzdata:all 2025b-0+deb12u2
2025-11-17 02:51:45 install usr-is-merged:all <none> 37~deb12u1
2025-11-17 02:51:45 status half-installed usr-is-merged:all 37~deb12u1
2025-11-17 02:51:45 status unpacked usr-is-merged:all 37~deb12u1
2025-11-17 02:51:45 install util-linux:amd64 <none> 2.38.1-5+deb12u3
2025-11-17 02:51:45 status half-installed util-linux:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:45 status unpacked util-linux:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:45 install util-linux-extra:amd64 <none> 2.38.1-5+deb12u3
2025-11-17 02:51:45 status half-installed util-linux-extra:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:45 status unpacked util-linux-extra:amd64 2.38.1-5+deb12u3
2025-11-17 02:51:46 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2025-11-17 02:51:46 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2025-11-17 02:51:46 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2025-11-17 02:51:46 startup packages configure
2025-11-17 02:51:46 configure debian-archive-keyring:all 2023.3+deb12u2 <none>
2025-11-17 02:51:46 status unpacked debian-archive-keyring:all 2023.3+deb12u2
2025-11-17 02:51:46 status half-configured debian-archive-keyring:all 2023.3+deb12u2
2025-11-17 02:51:46 status installed debian-archive-keyring:all 2023.3+deb12u2
2025-11-17 02:51:46 configure usr-is-merged:all 37~deb12u1 <none>
2025-11-17 02:51:46 status unpacked usr-is-merged:all 37~deb12u1
2025-11-17 02:51:46 status half-configured usr-is-merged:all 37~deb12u1
2025-11-17 02:51:46 status installed usr-is-merged:all 37~deb12u1
2025-11-17 02:51:46 configure libaudit-common:all 1:3.0.9-1 <none>
2025-11-17 02:51:46 status unpacked libaudit-common:all 1:3.0.9-1
2025-11-17 02:51:46 status half-configured libaudit-common:all 1:3.0.9-1
